日期時間,自動氣象站,太陽總輻射量（瓦特/平方米）,太陽直接輻射量（瓦特/平方米）,太陽漫射輻射量（瓦特/平方米）
202609190810,滘西洲,414.0,607.0,143.0
202609190810,京士柏,365.0,559.0,100.0
